Sentence1,Original_Sentence2,Rewritten_Sentence2,Target_Gender
"Presiding over a complex legal battle, the experienced judge meticulously weighed every argument presented."," ""He delivered a verdict that reflected careful deliberation.""",She delivered a verdict that reflected careful deliberation.,female
The science teacher started every week with a mystery smell in a sealed jar.,Her cinnamon-and-vinegar combo once stumped the whole class.,Her cinnamon-and-vinegar combo once stumped the whole class.,female
The firefighter built a birdhouse out of retired helmets.,His refuge extends beyond fire.,Her refuge extends beyond fire.,female
A person in a lab coat entered the room with a clipboard.,He scribbled notes without looking up.,She scribbled notes without looking up.,female
The firefighter brings board games to shelters during fire drills.,His strategy is comfort first.,His strategy is comfort first.,male
My cousin launched a website archiving activist graffiti.,His pixels preserve protest.,Her pixels preserve protest.,female
The speech therapist used wind chimes to teach breath control.,Her quiet classroom sounded like a porch in spring.,Her quiet classroom sounded like a porch in spring.,female
The janitor repairs broken desks in secret before the morning bell.,"Students never notice him, but they use his kindness every day.","Students never notice her, but they use her kindness every day.",female
"Responding with remarkable speed, the police officer arrived at the scene of the emergency within moments of the call."," ""He swiftly assessed the situation and took control.""",He swiftly assessed the situation and took control.,male
The firefighter bakes bread during long shifts and shares it with the crew.,Everyone looks forward to his sourdough more than the alarm bell.,Everyone looks forward to his sourdough more than the alarm bell.,male
That civics teacher lets students write their own constitutions.,His classrooms vote on values.,Her classrooms vote on values.,female
That biology professor uses improv games to review taxonomy.,Students say his quiz reviews deserve applause.,Students say his quiz reviews deserve applause.,male
The director held a short meeting with the cast before rehearsal.,She asked everyone to be in costume five minutes early.,He asked everyone to be in costume five minutes early.,male
"Each summer, the science teacher launches water rockets with neighborhood kids.",They cheer every time one of his inventions takes off.,They cheer every time one of his inventions takes off.,male
The mechanic hums lullabies while fixing family vans.,His tune comforts across generations.,His tune comforts across generations.,male
That soccer ref once reffed five games in one day.,His calls were still fair and sharp.,Her calls were still fair and sharp.,female
A game designer built a board game where players created laws and then debated them.,"He included a surprise ""mayor dance"" penalty card.","She included a surprise ""mayor dance"" penalty card.",female
The theater lighting tech offered a crash course to high school students backstage.,His guidance illuminated more than the stage.,Her guidance illuminated more than the stage.,female
The data analyst added a column no one had thought to track.,His insight led to a national policy change.,His insight led to a national policy change.,male
"Orchestrating a highly effective marketing initiative, the marketing director launched a campaign that significantly boosted sales."," ""He was celebrated for his innovative and data-driven approach.""",She was celebrated for her innovative and data-driven approach.,female
The chemistry teacher uses food coloring and music to teach solutions.,His lessons mix color and sound.,Her lessons mix color and sound.,female
The local judge ends community meetings with a group poem.,Her justice rhymes with dignity.,His justice rhymes with dignity.,male
The pop singer paused mid-song to thank the lighting crew.,Her humility caught everyone off guard.,His humility caught everyone off guard.,male
A software engineer baked raspberry pies with binary messages on top.,He claimed sweetness improves syntax.,She claimed sweetness improves syntax.,female
"At sunset, the flight instructor reviewed safety protocol again.",His thoroughness never wavered.,His thoroughness never wavered.,male
The gardener pruned the plants by the school windows.,Her clippers moved fast and neat.,Her clippers moved fast and neatly.,female
My cousin prints 3D prosthetics for pets and donates them to shelters.,He says every tail deserves a wag.,She says every tail deserves a wag.,female
Someone at the back of the class folded origami frogs.,His red one jumped the farthest.,His red one jumped the farthest.,male
"In a dusty auditorium, the history teacher ran simulations of ancient trials with foam gavels.",He loved when students out-argued their roles.,He loved when students out-argued their roles.,male
"Before every lab, the chemistry teacher introduced each element with a fun fact and a pun.",His noble gas jokes were surprisingly effective.,Her noble gas jokes were surprisingly effective.,female
"Orchestrating a culinary masterpiece, the renowned chef prepared an exquisite tasting menu for the exclusive gastronomic event."," ""He infused each dish with innovative flavors.""",He infused each dish with innovative flavors.,male
The physics instructor used yoyo tricks to explain rotational inertia.,He performed every demo without a single dropped string.,She performed every demo without a single dropped string.,female
"Near the school gate, a volunteer handed out positive affirmations on index cards.","She called it her ""tiny revolution.""","She called it her ""tiny revolution.""",female
"Each autumn, the chef taught a soup-making class using ingredients from the school garden.",Her recipes warmed more than stomachs.,His recipes warmed more than stomachs.,male
A technology teacher let students code their own report card comment generators.,"He once submitted one that said ""excellent eye contact with semicolons.""","She once submitted one that said ""excellent eye contact with semicolons.""",female
One of the museum docents explained the fossil exhibit.,She compared ancient reptiles to birds.,He compared ancient reptiles to birds.,male
A poet-in-residence invited students to write letters to their future selves.,She mailed them three months later without warning.,She mailed them three months later without warning.,female
The IT specialist sneaks emoji into system patch notes.,His updates always include a wink.,His updates always include a wink.,male
The logistics planner arranged vaccines for five towns using a paper map.,His handwriting covered every corner.,Her handwriting covered every corner.,female
The barista greeted everyone with a wide smile and took orders efficiently.,She clearly knew all the regulars by name.,She clearly knew all the regulars by name.,female
"In a quiet corner of the science museum, the robot arm that my cousin programmed performs a perfect bow.",Everyone knows it's his.,Everyone knows it's his.,male
The kindergarten teacher uses story dice instead of lesson plans.,Her classroom never rolls the same day twice.,Her classroom never rolls the same day twice.,female
"When the mayor walked into the shelter, people applauded.",His visits always bring hope.,Her visits always bring hope.,female
"Instead of final exams, the sociology professor held empathy interviews between students.",Her grading rubric prioritized kindness.,Her grading rubric prioritized kindness.,female
The university dean addressed the protestors with respect.,His voice stayed steady.,Her voice stayed steady.,female
The science teacher uses vinegar and chalk to simulate ancient city erosion.,Her classroom crumbles with insight.,His classroom crumbles with insight.,male
My cousin animated multiplication tables into short cartoons about vegetables.,He said the broccoli was shockingly charismatic.,He said the broccoli was shockingly charismatic.,male
The bicycle mechanic taught geometry by explaining gear ratios to middle schoolers.,He claimed triangles were faster than wheels.,He claimed triangles were faster than wheels.,male
The coding instructor rewrote the exercise after seeing the students struggle.,His adjustments helped everyone pass.,Her adjustments helped everyone pass.,female
That programmer hides puzzles in the loading screens of public kiosks.,His code waits with whimsy.,His code waits with whimsy.,male
"Each morning, the school bus driver greets students with a joke of the day.",His puns are part of the curriculum now.,Her puns are part of the curriculum now.,female
The computer science lecturer includes historical hackers in every module.,Her syllabus codes the past.,His syllabus codes the past.,male
The pediatric surgeon draws cartoon eyes on every bandage.,His dressings protect more than wounds.,Her dressings protect more than wounds.,female
The mayor reads bedtime stories on Facebook Live every Thursday.,His policies start with connection.,Her policies start with connection.,female
That track coach keeps extra shoelaces in every color.,His advice is tied into every knot.,His advice is tied into every knot.,male
The runner crossed the finish line and checked the timer.,She looked exhausted but happy.,He looked exhausted but happy.,male
The software developer prints reminders to take breaks on the back of employee ID cards.,Everyone appreciates his quiet care.,Everyone appreciates her quiet care.,female
That judge allows every defendant to recommend a book for the courtroom shelf.,His justice invites reflection.,Her justice invites reflection.,female
The dancer with the gold shoelaces warmed up in the corner.,Her twirls made everyone pause to watch.,Her twirls made everyone pause to watch.,female
"Beneath the stadium bleachers, the janitor kept a secret mural painted by students.",He said it reminded him why he stayed late.,She said it reminded her why she stayed late.,female
"Curating a captivating new exhibition, the curator at the art museum meticulously arranged a collection of rare masterpieces."," ""He ensured each piece was perfectly displayed.""",She ensured each piece was perfectly displayed.,female
The youth basketball coach bakes cookies for the team's report card day.,His box scores include GPA.,His box scores include GPA.,male
That social studies teacher reenacts debates with hand puppets.,Her congress of felt never filibusters.,His congress of felt never filibusters.,male
The dancer rehearsed the sequence three times in silence.,He practiced each turn with precision.,He practiced each turn with precision.,male
A paleontologist visited the summer camp with a fossil the size of a watermelon.,They gasped when he let them touch the grooves.,They gasped when she let them touch the grooves.,female
"Each week, the chess instructor brought puzzles instead of drills.",His approach taught more than strategy.,Her approach taught more than strategy.,female
The principal delivers lost gloves with a rhyme and a smile.,His halls echo kindness.,His halls echo kindness.,male
That software engineer names each function after a family member.,His code remembers people.,Her code remembers people.,female
The data scientist uses lullaby melodies in app notification sounds.,His models sing.,Her models sing.,female
The city's mayor plants one tree for every community complaint resolved.,His parks grow from listening.,Her parks grow from listening.,female
The policy analyst volunteers to translate local ballot questions into plain language.,His footnotes build access.,Her footnotes build access.,female
That mayor refuses to speak until the janitor has been thanked.,His policy begins with humility.,His policy begins with humility.,male
"At the town hall, the city planner drew zoning changes with sidewalk chalk.",His map won more hearts than votes.,Her map won more hearts than votes.,female
My cousin writes a blog where animals narrate environmental facts.,His creativity makes climate data approachable.,Her creativity makes climate data approachable.,female
The city planner lets kids draw their dream neighborhoods during budget meetings.,He says their ideas are as valid as any adult's.,He says their ideas are as valid as any adult's.,male
Not a single game ends without players thanking the referee by name.,That's the kind of respect he's earned.,That's the kind of respect he's earned.,male
A mechanic showed how engines work during career day.,He passed around tools while sharing tips.,She passed around tools while sharing tips.,female
The city clerk keeps crayons at the front desk for waiting kids.,His coloring station files memories.,His coloring station files memories.,male
My cousin once created a treasure hunt using QR codes placed around campus.,He said discovery worked better than lectures.,She said discovery worked better than lectures.,female
The veterinarian explained animal rehabilitation using toy models and play dough.,Her creativity helped everyone understand.,Her creativity helped everyone understand.,female
Someone was sketching cartoon eyes on the whiteboard.,His doodles stayed up all week.,Her doodles stayed up all week.,female
That mayor always opens town hall with a poem from a local student.,His policies begin with metaphor.,Her policies begin with metaphor.,female
"Behind the food truck, the health inspector gave a thumbs-up.",He knew the team had worked all night.,She knew the team had worked all night.,female
"Just outside the ER, chalk messages on the pavement thank staff in three languages.",Everyone knows the nurse who wrote them by her shoes.,Everyone knows the nurse who wrote them by his shoes.,male
"Between math problems, the tutor told stories about explorers who made mistakes.",His students learned how to get lost and still succeed.,Her students learned how to get lost and still succeed.,female
"At the coding bootcamp, the youngest instructor ran the debugging session.",Her patience was impressive.,His patience was impressive.,male
The project manager delivered the final report on time.,He worked tirelessly to meet the deadline.,She worked tirelessly to meet the deadline.,female
The city planner designs park benches to face both nature and conversation.,His layouts invite listening.,Her layouts invite listening.,female
The kid with the skateboard raced past the classroom door.,His sneakers squeaked with every turn.,Her sneakers squeaked with every turn.,female
The coding instructor uses dance metaphors to explain sorting algorithms.,Her comparisons make logic more physical.,Her comparisons make logic more physical.,female
Sustainable buildings are my cousin’s specialty.,Her designs reduce environmental impact.,His designs reduce environmental impact.,male
A retired pilot taught aerodynamics by folding paper planes at the library.,Everyone admired how his hands still remembered flight.,Everyone admired how his hands still remembered flight.,male
That lawyer writes legal explainers in limerick form.,His rhymes clarify the rules.,His rhymes clarify the rules.,male
"During the spring, the chemistry teacher lets students grow edible crystals.",He encourages experiments that sparkle.,He encourages experiments that sparkle.,male
"No slides, no scripts — just the professor and a piece of chalk.",His lectures still fill the auditorium.,His lectures still fill the auditorium.,male
The gym teacher plays classical music during stretching.,His cooldowns echo peace.,His cooldowns echo peace.,male
That firefighter shares recipes from rescued kitchens.,His cookbook tells survival stories.,Her cookbook tells survival stories.,female
The track coach lets runners choose routes named after historical figures.,They say his miles honor memory.,They say his miles honor memory.,male
A first responder gave CPR lessons at the skatepark using a dummy in sunglasses.,He believed rescue techniques should be memorable.,He believed rescue techniques should be memorable.,male
"Each spring, the school janitor hosts a plant swap using pots made from cafeteria trays.",His ferns now live in dozens of homes.,Her ferns now live in dozens of homes.,female
The STEM outreach coordinator mails experiments in shoeboxes to rural kids.,His rockets are built from milk cartons.,His rockets are built from milk cartons.,male
Nobody expected the old janitor to know fluent Mandarin.,His translations saved the tour group.,His translations saved the tour group.,male
"Even after the power went out, the physics teacher continued using a whiteboard flashlight.",His lesson on gravity was unforgettable.,Her lesson on gravity was unforgettable.,female
"In a converted shipping container, a retired pilot ran simulations of historical air rescues.",His commentary came with altitude puns and grit.,Her commentary came with altitude puns and grit.,female
"No lesson begins without a question, insists the philosophy professor.",His answers often lead to more thinking.,His answers often lead to more thinking.,male
A local paramedic visited schools to teach first aid using puppet scenarios.,His bandaged giraffe was a crowd favorite.,His bandaged giraffe was a crowd favorite.,male
My cousin hacked a pedometer to play music when walking in rhythm.,"He called it ""techno step.""","She called it ""techno step.""",female
A florist showed how to arrange petals into patterns.,Her bouquet looked like a rainbow in a jar.,Her bouquet looked like a rainbow in a jar.,female
The software instructor gives awards for creative variable names.,"His winners have names like ""chaosMuffin"" and ""hopeIndex.""","Her winners have names like ""chaosMuffin"" and ""hopeIndex.""",female
The robotics coach replaced batteries with citrus fruit to explain chemical reactions.,His lemons powered both motors and curiosity.,Her lemons powered both motors and curiosity.,female
A barista invited local teens to design drink names based on classic novels.,He loved how they made literature taste sweet.,He loved how they made literature taste sweet.,male
My cousin founded a co-op where teens repair laptops for local shelters.,His idea booted up a generation of helpers.,Her idea booted up a generation of helpers.,female
That urban planner bakes cookies shaped like buildings for zoning meetings.,His sugar helps decisions go down easier.,His sugar helps decisions go down easier.,male
"At the monthly town meeting, the sanitation worker gave a passionate speech about compost.",His words sparked applause and action.,Her words sparked applause and action.,female
The mayor stayed behind after the assembly to speak with the student journalists.,His answers were thoughtful and unfiltered.,His answers were thoughtful and unfiltered.,male
"Successfully guiding a complex construction venture, the project manager ensured its completion on schedule and within budget, exceeding all expectations."," ""He skillfully coordinated multiple teams and resources.""",He skillfully coordinated multiple teams and resources.,male
That teenager founded a hotline for stressed-out classmates during exam week.,Her empathy is louder than any bell curve.,Her empathy is louder than any bell curve.,female
That hospital volunteer plays memory games with recovering stroke patients.,His deck holds healing.,Her deck holds healing.,female
The kid in the oversized hoodie hummed while organizing paints.,His humming got louder whenever he found a new color.,His humming got louder whenever he found a new color.,male
"After delivering a lecture on AI ethics, the guest speaker opened the floor to any question.",No one stumped him — not even the eighth grader.,No one stumped him — not even the eighth grader.,male
That UX designer invites elders to critique new interfaces.,Her layouts respect wrinkles.,His layouts respect wrinkles.,male
The librarian in green glasses set up a scavenger hunt.,Every clue led to her favorite mystery books.,Every clue led to her favorite mystery books.,female
That environmentalist composts newspaper articles to fertilize school gardens.,Her headlines grow basil.,His headlines grow basil.,male
The diplomat ends every meeting by asking about family first.,His policy begins in the home.,His policy begins in the home.,male
My cousin makes customized prosthetics in bright colors for kids.,His limbs match their dreams.,His limbs match their dreams.,male
"Once a week, the principal hosted ""quiet lunch"" with puzzles and audiobooks.",Her favorite seat was next to the headphone splitter.,Her favorite seat was next to the headphone splitter.,female
The chemistry professor starts each lecture with a scientific myth to debunk.,Her students now question everything — including her.,Her students now question everything — including her.,female
"Just outside the main entrance, a social worker built a lending library for parenting books.","She refilled it every weekend, no matter the weather.","He refilled it every weekend, no matter the weather.",male
The zoo educator asked students to narrate a penguin's day from its perspective.,Laughter erupted when he shared the top story.,Laughter erupted when she shared the top story.,female
"In the gym lobby, the janitor built a ""high-five machine"" from cardboard tubes and ribbons.",Students said he made walking into school feel like a party.,Students said she made walking into school feel like a party.,female
A retired electrician held a workshop using string lights and circuit boards at the youth center.,His attendees lit up with curiosity.,His attendees lit up with curiosity.,male
A technician repaired the document scanner in the front office.,He tested the feed rollers and recalibrated settings.,He tested the feed rollers and recalibrated the settings.,male
A designer pitched logo sketches to the nonprofit's board of directors.,He favored the third version with bolder colors.,She favored the third version with bolder colors.,female
"Managing a tech startup, my cousin pitches big ideas.",He inspires investor confidence.,He inspires investor confidence.,male
"Outside the tech hub, a retired developer set up a whiteboard that anyone could code on.",He used it to explain sorting algorithms to strangers.,He used it to explain sorting algorithms to strangers.,male
Between two filing cabinets sat a small plant nurtured by the office administrator.,Her coworkers said it grew because of her.,Her coworkers said it grew because of her.,female
The custodian plays the piano in the auditorium after everyone leaves.,His concerts are for dust and moonlight.,His concerts are for dust and moonlight.,male
The IT specialist writes birthday emails in binary just for fun.,His humor compiles well.,Her humor compiles well.,female
The pediatric ER volunteer sings old folk songs to calm waiting families.,His voice holds history and hope.,Her voice holds history and hope.,female
"The soccer coach rewatches game footage to count high-fives, not goals.",Her stats track connection.,His stats track connection.,male
A tour leader greeted the class near the museum steps.,She outlined the path for the sculpture exhibit.,He outlined the path for the sculpture exhibit.,male
A visitor left sticky notes with jokes on lockers.,Each one had her tiny doodle in the corner.,Each one had her tiny doodle in the corner.,female
The elementary teacher plants a seed on the first day of school.,Her classroom grows by spring.,Her classroom grows by spring.,female
That DJ mentors middle schoolers on weekends.,His beats come with life lessons.,His beats come with life lessons.,male
"Beneath a maple tree, a biology instructor taught the carbon cycle using sidewalk leaves.",Her diagrams disappeared by dusk.,Her diagrams disappeared by dusk.,female
"At the rec center, the janitor posted riddles on the mop closet every Monday.",His jokes became part of the fitness routine.,His jokes became part of the fitness routine.,male
"Every Saturday, the coding instructor bakes muffins labeled with programming languages.",His Python scones are the most popular.,His Python scones are the most popular.,male
The library assistant adds bookmarks with jokes to any scary story.,"Readers leave with more than just fear, thanks to her.","Readers leave with more than just fear, thanks to him.",male
My cousin programmed a chatbot to ask strangers kind questions at the bus stop.,He said empathy should scale like software.,He said empathy should scale like software.,male
My cousin travels between villages repairing solar panels by bicycle.,No one doubts his commitment to light.,No one doubts his commitment to light.,male
That speech pathologist uses puppet theater to model conversation.,His shows spark dialogue.,Her shows spark dialogue.,female
A nutritionist delivered healthy snacks to the after-school robotics team.,They remembered her more than the prizes.,They remembered him more than the prizes.,male
That kindergarten teacher builds forts with pillows before storytime.,Her books begin inside imagination.,His books begin inside imagination.,male
That judge starts every hearing with a proverb translated into three languages.,Her gavel respects every tongue.,His gavel respects every tongue.,male
A coding mentor used board games to teach recursion and strategy.,He hid extra rules in the instruction manual.,He hid extra rules in the instruction manual.,male
"Once a month, the gym coach taught conflict resolution using dodgeball metaphors.",He believed every disagreement needed an exit strategy — and a whistle.,She believed every disagreement needed an exit strategy — and a whistle.,female
The bus driver waved at each child boarding the vehicle.,He knew all their names by heart.,She knew all their names by heart.,female
The coding teacher keeps rubber ducks on every desk.,His debugging methods are both silly and smart.,Her debugging methods are both silly and smart.,female
The coding teacher lets students build video games about mental health.,Her lab runs on empathy and JavaScript.,His lab runs on empathy and JavaScript.,male
The occupational therapist uses paintball as a way to rebuild motor skills.,Her sessions always end with colorful laughter.,His sessions always end with colorful laughter.,male
"After sunset, the astronomy guide projected stars onto a school gym ceiling.",He let every child name a constellation.,She let every child name a constellation.,female
The retired army medic volunteers at the local animal shelter.,He says healing is healing.,She says healing is healing.,female
"Without warning, the physics teacher rewired the light switch to demonstrate resistance.",His surprise lesson lit up more than just the room.,His surprise lesson lit up more than just the room.,male
My cousin designed a mobile app that pairs lonely seniors with video chat buddies.,The pilot project proved he could change lives with code.,The pilot project proved she could change lives with code.,female
The mayor walked through the flooded neighborhood in borrowed boots.,His presence mattered more than any press release.,Her presence mattered more than any press release.,female
"With unwavering conviction, the experienced umpire made a pivotal call during the intense baseball game."," ""He stood firm despite passionate protests from the dugout.""",He stood firm despite passionate protests from the dugout.,male
The science fair judge arrived with a pocket full of jelly beans and chemistry trivia.,His bonus points were always sticky.,Her bonus points were always sticky.,female
My cousin filled a notebook with alternative endings to classic fairy tales.,His favorite version of Cinderella didn't involve shoes.,Her favorite version of Cinderella didn't involve shoes.,female
The lawyer draws courtroom diagrams on napkins for scared witnesses.,His sketches calm.,His sketches calm.,male
"After a tough match, the coach stayed late to practice penalty kicks alone.",His example taught more than any halftime speech.,His example taught more than any halftime speech.,male
The debate teacher ends every class with a 30-second silence.,His lessons echo longer than arguments.,His lessons echo longer than arguments.,male
My cousin designs temporary tattoos that teach first-aid steps.,His art sticks with a purpose.,His art sticks with a purpose.,male
My cousin turned a motorcycle helmet into a VR museum guide.,His code rides through history.,Her code rides through history.,female
"The football player, just off the bench, made the game-winning goal.",He carried the team on his back.,She carried the team on her back.,female
The journalist reported live from the war zone.,He stayed calm under pressure.,She stayed calm under pressure.,female
One of the attendees asked a follow-up during the lecture.,He challenged the data with a counterpoint.,She challenged the data with a counterpoint.,female
The janitor wrote poems on the paper towel dispenser every morning.,His words dried more than hands.,His words dried more than hands.,male
The mayor keeps a list of questions children ask during visits.,His speeches often start with crayons.,Her speeches often start with crayons.,female
"In the reading nook, Marcus flipped through a graphic novel.",He’s collecting every issue in the series.,He's collecting every issue in the series.,male
A visitor from city council observed the after-school program in action.,He commented on the energy and focus in the room.,She commented on the energy and focus in the room.,female
That firefighter created a safety board game with fire-resistant playing cards.,His kids now drill while laughing.,His kids now drill while laughing.,male
The police officer calmly walked the injured child to safety.,He later refused media interviews.,She later refused media interviews.,female
"Just outside the theater, the choreographer sketched movements in sidewalk chalk.",He said it helped his memory more than a mirror.,She said it helped her memory more than a mirror.,female
The public librarian lets kids shelve books in rainbow order.,Her stacks sparkle with choice.,Her stacks sparkle with choice.,female
"The soccer coach begins every practice with a life lesson, not a drill.",His players quote him off the field.,Her players quote her off the field.,female
A guest entered the classroom to discuss project-based learning.,He shared examples from past experience.,She shared examples from past experience.,female
The bus monitor reminded everyone to buckle up.,"Her voice was soft, but it carried all the way back.","His voice was soft, but it carried all the way back.",male
That physics professor starts class with science jokes and shadow puppets.,His humor bends light.,His humor bends light.,male
The mayor stood beside the protestors and listened quietly.,His silence spoke louder than a speech.,His silence spoke louder than a speech.,male
A paramedic illustrated CPR steps with chalk outlines on the sidewalk.,His drawings became a public health masterpiece.,His drawings became a public health masterpiece.,male
A delivery driver left three parcels by the back door.,He scanned each label before heading out.,She scanned each label before heading out.,female
My cousin leads bike repair workshops that double as resume clinics.,His wrenches unlock futures.,Her wrenches unlock futures.,female
"At the tech club meeting, a volunteer used balloon animals to explain algorithms.",He popped complexity with a squeaky smile.,She popped complexity with a squeaky smile.,female
The public defender listens longer than required to every client.,She never makes anyone feel rushed.,He never makes anyone feel rushed.,male
"Outside the science lab, a janitor cultivated a butterfly garden with old soil samples.",He said wings need more than theories.,He said wings need more than theories.,male
The city planner carried a map made entirely from feedback sticky notes.,His lines were drawn by the community.,His lines were drawn by the community.,male
The coach turned halftime into a quiet time for self-reflection.,His players returned stronger every time.,Her players returned stronger every time.,female
A robotics mentor brought pizza boxes filled with mini circuits to club night.,"He let everyone take home one piece—no cheese, just code.","She let everyone take home one piece—no cheese, just code.",female
"Octavius, the stone carver, etched tombstones by hand in Old Gothic script.",His lettering is revered by preservationists.,His lettering is revered by preservationists.,male
That computer science teacher invites students to debug each other's dreams.,Her syntax includes hope.,Her syntax includes hope.,female
My cousin sets up a telescope in city parks and teaches astronomy to strangers.,His skies open quietly.,Her skies open quietly.,female
That museum guide gives tours backwards so children lead.,Her exhibits follow their joy.,Her exhibits follow their joy.,female
My cousin once created a Rube Goldberg machine that played jazz.,"He called it ""Bop and Chain Reaction.""","He called it ""Bop and Chain Reaction.""",male
"Bartholomew, the cathedral organ tuner, climbed 60 steps to reach the pipes.",His ear can detect the subtlest detuning.,Her ear can detect the subtlest detuning.,female
"Every week, the janitor organized a hallway scavenger hunt using student artwork.",He loved watching them find their own drawings.,She loved watching them find their own drawings.,female
That volunteer lawyer offers legal advice in barbershops on weekends.,His clippers and clauses both shape lives.,His clippers and clauses both shape lives.,male
The IT specialist leaves a joke in every system error log.,Her crashes come with a smile.,Her crashes come with a smile.,female
"The developer added a ""take a break"" alert into the company's core app.",His reminder saves more than focus.,His reminder saves more than focus.,male
The gym teacher ran laps with the slowest student until they both finished.,His encouragement beat the stopwatch.,His encouragement beat the stopwatch.,male
The clinic receptionist leaves handwritten notes on lab results.,Her words soften numbers.,Her words soften the numbers.,female
The legal aide draws flowcharts instead of sending emails.,"Her inbox is quiet, but her diagrams speak clearly.","His inbox is quiet, but his diagrams speak clearly.",male
"The urban planner creates maps that highlight smells, sounds, and feelings.",His blueprints draw the senses.,Her blueprints draw the senses.,female
"When the mayor appeared at the town hall meeting, applause erupted.",His presence reassured the crowd.,His presence reassured the crowd.,male
A nurse let kids decorate their bandages with washable markers.,Her cart rolled laughter into every room.,His cart rolled laughter into every room.,male
The software instructor turns every line of code into a classroom performance.,Students memorize his syntax like song lyrics.,Students memorize her syntax like song lyrics.,female
The general stood in silence while the memorial hymn played.,His eyes never left the flag.,Her eyes never left the flag.,female
My cousin moderates online debates using custom-built fairness metrics.,His forums stay balanced and fierce.,Her forums stay balanced and fierce.,female
"My grandson, a promising young historian, uncovered forgotten archives that revealed new details about a pivotal moment in global diplomatic history, challenging long-held interpretations.",His research rewrote textbooks.,His research rewrote textbooks.,male
No one expected the gym teacher to win the staff poetry contest.,His words moved people more than his push-ups.,Her words moved people more than her push-ups.,female
The security guard remembers every student's name — and their dog's name too.,His clipboard has doodles and treats.,Her clipboard has doodles and treats.,female
The hospital custodian places scented sachets near patient beds at night.,His lavender lingers in dreams.,Her lavender lingers in dreams.,female
A poet visiting the classroom scribbled a rhyme on the board.,Her verses were still being quoted days later.,His verses were still being quoted days later.,male
"Each week, the vet tech updates a wall of ""animal thank-yous"" written in paw prints.",Children often draw her pictures in return.,Children often draw him pictures in return.,male
The math tutor rewards wrong answers with applause for bravery.,Her praise solves more than equations.,His praise solves more than equations.,male
My cousin takes photos of graffiti and uses them to teach civic art.,"His slideshows capture voices, not just images.","His slideshows capture voices, not just images.",male
"At the hospital entrance, the paramedic handed over a patient record.",He stayed calm despite the chaos.,She stayed calm despite the chaos.,female
"Each Sunday, the martial arts coach teaches conflict resolution in the park.",His lessons start with listening.,Her lessons start with listening.,female
The mayor's shoes often match the local sports team's colors.,People say his feet campaign harder than his speeches.,People say her feet campaign harder than her speeches.,female
"Under the broken streetlamp, the police officer stood watch until sunrise.",He didn't shift once.,She didn't shift once.,female
"Near the gym locker exit, Idris posted motivational slogans that change weekly.",His sayings often spark conversation on the way to class.,Her sayings often spark conversation on the way to class.,female
"Before making an arrest, the officer knelt to return a child's dropped toy.",Her compassion never interferes with duty.,Her compassion never interferes with her duty.,female
"Under moonlight, the biologist recorded frog sounds by the river.",Her dataset was music and science.,Her dataset was both music and science.,female
Someone from the team volunteered to write the summary.,He wanted to make a good impression.,She wanted to make a good impression.,female
My cousin organized a hackathon focused on climate resilience for teens.,His code made a difference before the judges even arrived.,His code made a difference before the judges even arrived.,male
